year;profit;surplusvalue;occ
1940;0.378955985;2.377947737;5.274997188
1941;0.41526887;2.264036759;4.451978034
1942;0.402806529;1.800524075;3.469947593
1943;0.409388192;1.576612036;2.851141945
1944;0.441155951;1.657340449;2.756813086
1945;0.440167478;1.846280658;3.194495845
1946;0.451623356;2.167509699;3.799374683
1947;0.415243675;2.047348511;3.930474891
1948;0.436871514;2.145676441;3.911458796
1949;0.396011469;2.027327127;4.11936468
1950;0.414014015;2.163743664;4.22625705
1951;0.428835376;2.114057282;3.929764194
1952;0.401963369;1.95526554;3.86428787
1953;0.397564051;1.875526804;3.717546263
1954;0.384847564;1.908709075;3.959649627
1955;0.400620775;2.004532807;4.003566799
1956;0.377686361;1.920002435;4.083589541
1957;0.367576839;1.909305838;4.194303978
1958;0.358541376;1.95079491;4.440919905
1959;0.380048353;1.984889257;4.222728214
1960;0.381944668;1.970915739;4.160212731
1961;0.385046424;2.022503795;4.252623243
1962;0.402528258;2.059201615;4.115669712
1963;0.408956192;2.083274357;4.094125973
1964;0.417911181;2.115042879;4.060986587
1965;0.437024686;2.202500512;4.039762246
1966;0.442734578;2.203067831;3.976046462
1967;0.422063898;2.155998782;4.108228376
1968;0.417862389;2.149577599;4.144223682
1969;0.407147368;2.107406324;4.176028368
1970;0.384641606;2.10177311;4.464237556
1971;0.390672851;2.233098063;4.716030836
1972;0.398361014;2.256263803;4.663867002
1973;0.40541107;2.295841988;4.662997777
1974;0.364840683;2.262223345;5.200578644
1975;0.352707391;2.303282432;5.5302925
1976;0.369806152;2.365116588;5.395557719
1977;0.375739948;2.372165518;5.313317309
1978;0.383360004;2.417959974;5.307282845
1979;0.373648878;2.39718167;5.415599812
1980;0.34665622;2.345483519;5.766021729
1981;0.358024783;2.495495869;5.97017633
1982;0.334436617;2.432628806;6.27381119
1983;0.356021926;2.584033289;6.258073459
1984;0.394677568;2.776704307;6.035374016
1985;0.395286803;2.777404701;6.026302629
1986;0.388957889;2.758407961;6.091790761
1987;0.389002619;2.778834173;6.143484491
1988;0.391987476;2.794969606;6.130252313
1989;0.403907951;2.918526773;6.225722518
1990;0.399735833;2.925822833;6.319390942
1991;0.394465088;2.936062341;6.443148784
1992;0.40685192;3.00310449;6.381320686
1993;0.415400763;3.105876684;6.476819875
1994;0.428713181;3.221510688;6.514372845
1995;0.429033756;3.28426257;6.655021378
1996;0.439536329;3.387408139;6.706776244
1997;0.450829981;3.466766144;6.689741787
1998;0.40545455;2.562320448;5.319624347
1999;0.404398908;2.528845184;5.25334326
2000;0.397572771;2.45049836;5.163647353
2001;0.379551877;2.428783974;5.399083029
2002;0.381128891;2.566361004;5.733577707
2003;0.390535815;2.668451515;5.832795902
2004;0.393884834;2.75515053;5.994812418
2005;0.39414004;2.843213333;6.213713511
2006;0.390611077;2.861810113;6.326495021
2007;0.386030426;2.840765356;6.358915679
2008;0.362101128;2.787309737;6.697600252
2009;0.347396661;2.796737446;7.050559365
2010;0.369735859;3.00789826;7.135262468
2011;0.37132741;3.01263683;7.113154988
2012;0.380365149;3.020581647;6.941268167
2013;0.383251793;3.055638945;6.972927978
2014;0.384058336;3.032996801;6.897229449
2015;0.389067422;2.991134581;6.687959501
2016;0.383375835;2.957536913;6.714458355
2017;0.384377632;2.932166718;6.628348988
2018;0.388365818;2.928386603;6.54027896
2019;0.385609307;2.897141716;6.513152992
2020;0.356544098;2.737589799;6.67812401
2021;0.368847163;2.835288152;6.68689159
2022;0.373646152;2.951626353;6.899522954
2023;0.382719746;2.97320595;6.768624375
